region_id,name,level,parent
14730,"Nordsachsen, Landkreis",nuts3,147
15001,"Dessau-Roßlau, Kreisfreie Stadt",nuts3,150
15002,"Halle (Saale), Kreisfreie Stadt",nuts3,150
15003,"Magdeburg, Kreisfreie Stadt",nuts3,150
15081,Altmarkkreis Salzwedel,nuts3,150
15082,"Anhalt-Bitterfeld, Landkreis",nuts3,150
15083,"Börde, Landkreis",nuts3,150
15084,Burgenlandkreis,nuts3,150
15085,"Harz, Landkreis",nuts3,150
15086,"Jerichower Land, Landkreis",nuts3,150
15087,"Mansfeld-Südharz, Landkreis",nuts3,150
15088,Saalekreis,nuts3,150
15089,Salzlandkreis,nuts3,150
15090,"Stendal, Landkreis",nuts3,150
15091,"Wittenberg, Landkreis",nuts3,150
15101,"Dessau, Kreisfreie Stadt",nuts3,151
15151,"Anhalt-Zerbst, Kreis",nuts3,151
15153,"Bernburg, Kreis",nuts3,151
15154,"Bitterfeld, Kreis",nuts3,151
15159,"Köthen, Kreis",nuts3,151
15171,"Wittenberg, Kreis",nuts3,151
15202,"Halle (Saale), Kreisfreie Stadt",nuts3,152
15256,Burgenlandkreis,nuts3,152
15260,"Mansfelder Land, Kreis",nuts3,152
15261,"Merseburg-Querfurt, Kreis",nuts3,152
15265,Saalkreis,nuts3,152
15266,"Sangerhausen, Kreis",nuts3,152
15268,"Weißenfels, Kreis",nuts3,152
15303,"Magdeburg, Kreisfreie Stadt",nuts3,153
15352,"Aschersleben-Staßfurt, Kreis",nuts3,153
15355,Bördekreis,nuts3,153
15357,"Halberstadt, Kreis",nuts3,153
15358,"Jerichower Land, Kreis",nuts3,153
15362,Ohrekreis,nuts3,153
15363,"Stendal, Kreis",nuts3,153
15364,"Quedlinburg, Kreis",nuts3,153
15367,"Schönebeck, Kreis",nuts3,153
15369,"Wernigerode, Kreis",nuts3,153
15370,"Altmarkkreis Salzwedel, Kreis",nuts3,153
16051,"Erfurt, krsfr. Stadt",nuts3,160
16052,"Gera, krsfr. Stadt",nuts3,160
16053,"Jena, krsfr. Stadt",nuts3,160
16054,"Suhl, krsfr. Stadt",nuts3,160
16055,"Weimar, krsfr. Stadt",nuts3,160
16056,"Eisenach, krsfr. Stadt",nuts3,160
16061,"Eichsfeld, Kreis",nuts3,160
16062,"Nordhausen, Kreis",nuts3,160
16063,Wartburgkreis,nuts3,160
16064,Unstrut-Hainich-Kreis,nuts3,160
16065,Kyffhäuserkreis,nuts3,160
16066,"Schmalkalden-Meiningen, Kreis",nuts3,160
16067,"Gotha, Kreis",nuts3,160
16068,"Sömmerda, Kreis",nuts3,160
16069,"Hildburghausen, Kreis",nuts3,160
16070,Ilm-Kreis,nuts3,160
16071,"Weimarer Land, Kreis",nuts3,160
16072,"Sonneberg, Kreis",nuts3,160
16073,"Saalfeld-Rudolstadt, Kreis",nuts3,160
16074,Saale-Holzland-Kreis,nuts3,160
16075,Saale-Orla-Kreis,nuts3,160
16076,"Greiz, Kreis",nuts3,160
16077,"Altenburger Land, Kreis",nuts3,160
10041100,"Saarbrücken, Landeshauptstadt",lau,10041
10041511,"Friedrichsthal, Saar",lau,10041
10041512,Grossrosseln,lau,10041
10041513,Heusweiler,lau,10041
10041514,Kleinblittersdorf,lau,10041
10041515,Püttlingen,lau,10041
10041516,Quierschied,lau,10041
10041517,Riegelsberg,lau,10041
10041518,"Sulzbach, Saar",lau,10041
10041519,Völklingen,lau,10041
10042111,Beckingen,lau,10042
10042112,Losheim am See,lau,10042
10042113,Merzig,lau,10042
10042114,Mettlach,lau,10042
10042115,Perl,lau,10042
10042116,Wadern,lau,10042
10042117,Weiskirchen,lau,10042
10043111,Eppelborn,lau,10043
10043112,"Illingen, Saar",lau,10043
10043113,Merchweiler,lau,10043
10043114,"Neunkirchen, Saar",lau,10043
10043115,Ottweiler,lau,10043
10043116,Schiffweiler,lau,10043
10043117,Spiesen-Elversberg,lau,10043
10044111,"Dillingen, Saar",lau,10044
10044112,Lebach,lau,10044
10044113,Nalbach,lau,10044
10044114,Rehlingen-Siersburg,lau,10044
10044115,Saarlouis,lau,10044
10044116,Saarwellingen,lau,10044
10044117,Schmelz,lau,10044
10044118,"Schwalbach, Saar",lau,10044
10044119,Überherrn,lau,10044
10044120,Wadgassen,lau,10044
10044121,Wallerfangen,lau,10044
10044122,Bous,lau,10044
10044123,"Ensdorf, Saar",lau,10044
10045111,Bexbach,lau,10045
10045112,Blieskastel,lau,10045
10045113,Gersheim,lau,10045
10045114,Homburg,lau,10045
10045115,Kirkel,lau,10045
10045116,Mandelbachtal,lau,10045
10045117,St.Ingbert,lau,10045
10046111,Freisen,lau,10046
10046112,Marpingen,lau,10046
10046113,Namborn,lau,10046
10046114,Nohfelden,lau,10046
10046115,Nonnweiler,lau,10046
10046116,Oberthal,lau,10046
10046117,St. Wendel,lau,10046
